"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","log","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",-0.00462637396896371,-0.029139783752857,0.00871123460112433,-0.531081319789803,0.59573668429652,0.0577754325957793,0.0428194870814267,315,-0.0217659330367531,0.0125131850988256,-973.49145750043,"CRYBB2__seq.10000.28__ANML",NA,0.999190949666589,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.00878800702467798,-0.022087749952408,0.0147822416138585,-0.594497590706347,0.552587953894296,0.548103957701023,0.54123623669344,329,-0.0378676428290066,0.0202916287796507,-633.51796022464,"RAF1__seq.10001.7__ANML",NA,0.999190949666589,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.0027220243115981,0.0150355349578814,0.00983215364017379,0.276849244958502,0.782069192470555,0.0316455336365744,0.0169734962674316,330,-0.0166195786562505,0.0220636272794467,-909.348539811624,"ZNF41__seq.10003.15__ANML",NA,0.999190949666589,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.00590100459420159,0.0269024248683778,0.0101960197630385,0.578755703828005,0.563145265759418,0.28416757569876,0.273419341099642,333,-0.0141557229659564,0.0259577321543595,-892.420222471091,"ELK1__seq.10006.25__ANML",NA,0.999190949666589,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",-0.00345987801578628,-0.0262333117323918,0.00724698042179165,-0.477423397665383,0.633375747295355,0.00546584152327115,-0.0095573330760752,331,-0.0177158248291605,0.010796068797588,-1117.44325588435,"GUCA1A__seq.10008.43__ANML",NA,0.999190949666589,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.00323995152023156,0.0257476082957422,0.00678270831537948,0.477678144124983,0.633194585658656,0.0426604589058401,0.0281991365328166,331,-0.0101026992621443,0.0165826023026075,-1161.95746687194,"BECN1__seq.10010.10__ANML",NA,0.999190949666589,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",0.0082593762032704,0.0375578757410052,0.0117557753326903,0.70258030368298,0.482811139519977,0.059456445430047,0.0452488388655462,331,-0.0148660771771289,0.0313848295836697,-797.913167990184,"OCRL__seq.10011.65__ANML",NA,0.999190949666589,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",0.0143080561390974,0.0949212178494627,0.00823149973457568,1.73820769002734,0.0831098147540613,0.0222210119220582,0.00736114888136008,329,-0.00188495576381166,0.0305010680420065,-1031.45501407378,"SPDEF__seq.10012.5__ANML",NA,0.999190949666589,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.00316454611116533,0.0264711283909015,0.00654169489613834,0.483750184227242,0.628884989329967,0.0194338983551948,0.00453167796545606,329,-0.00970428055883009,0.0160333727811608,-1179.61543448526,"SNAI2__seq.10014.31__ANML",NA,0.999190949666589,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.00333140820906715,-0.0289916200723565,0.00625880673614016,-0.532275296156795,0.594899029908133,0.0394099287243864,0.0246316199355308,325,-0.015644296595624,0.00898148017748973,-1201.14613500085,"KCNAB2__seq.10015.119__ANML",NA,0.999190949666589,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
