"apt_name","UniProt","symbol","label","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","acme.x","acme_p.x","p_adjusted.x","ade.x","ade_p.x","ade_p_adjusted.x","prop_m.x","prop_m_p.x","prop_m_p_adjusted.x","acme.y","acme_p.y","p_adjusted.y","ade.y","ade_p.y","ade_p_adjusted.y","prop_m.y","prop_m_p.y","prop_m_p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y"
"seq.10000.28","P43320","CRYBB2","CRYBB2",0.015928536793147,0.595802570200729,0.880231540034944,0.00537390218523,0.866349852116632,0.982910932280041,0.0356292743817922,0.273713703187907,0.547850235460021,0.0336476141307326,0.331206262984501,0.633124541023902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0141940514741135,0.749968179945379,0.974607909351625,NA,NA,NA,0.0151488400848443,0.811538739764901,0.974464448308472,-0.0214037890617379,0.730319139342459,0.975587310933648,0.0181616893713501,0.663958772088296,0.999980772643425,NA,NA,NA
"seq.10001.7","P04049","RAF1","RAF1",-0.0206524439466849,0.200499434976699,0.636587643763155,-0.0150730742008817,0.379771543160174,0.897797313237738,-0.0232694995294104,0.182814879319274,0.440325131972265,-0.0176987928514101,0.340863727522772,0.640989224316828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0390210743385778,0.113543368890647,0.752381314515041,NA,NA,NA,-0.0599985227208101,0.122522500506943,0.64167966656584,-0.0121209804660206,0.695616488057861,0.973254187828124,0.0127039767258113,0.556427589824553,0.999980772643425,NA,NA,NA
"seq.10003.15","P51814","ZNF41","ZNF41",0.0547695420485305,0.057448930199671,0.421500948345409,0.0592178695687708,0.0533340345670255,0.603235495408296,0.007455273163026,0.811017204791165,0.919287433779934,-0.014204041101759,0.667783756739159,0.860803989515589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0905569093100019,0.0315977133450608,0.563101349790543,NA,NA,NA,0.0776497951058104,0.204704170203466,0.72745216201866,0.0912680335503492,0.126898137340972,0.765909635898076,0.0368863640731399,0.358765172174138,0.999980772643425,NA,NA,NA
"seq.10006.25","P19419","ELK1","ELK1",-0.0392916520738856,0.15572746094248,0.587810649205162,-0.0405967532694489,0.167267396877219,0.78794972104483,-0.0105535815560067,0.724962307748764,0.878588662096626,0.0042110830897708,0.894749452203963,0.963383056356174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0369164685560357,0.37524631516555,0.877363817606925,NA,NA,NA,-0.0757551816488328,0.195421686559626,0.72691692893339,0.0057342967451361,0.923656560896737,0.994936999749045,-0.0451348287601363,0.235603994409477,0.999980772643425,NA,NA,NA
"seq.10008.43","P43080","GUCA1A","GUCA1A",0.0050803669009793,0.857242264497814,0.965708663228757,-0.0058319132948478,0.846009979067184,0.981598592820366,0.0325970503932846,0.286098322160016,0.56178605847324,0.0347425895039959,0.285173117005902,0.592213841900797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0337413683653156,0.415254843822652,0.897665144583982,NA,NA,NA,-0.0891337740578999,0.143486627455481,0.667461167516183,0.0182318109437263,0.748680865079601,0.982331852809142,0.0285115284564596,0.470054663400741,0.999980772643425,NA,NA,NA
"seq.10010.10","Q14457","BECN1","BECN1_1",0.0423220302460491,0.13947396971538,0.569544769829901,0.0425830077389692,0.161905467140303,0.78370852366585,0.0147677543711941,0.63426708461624,0.830340373867494,-0.0008360103529194,0.979770793702491,0.991475237133303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0925064309028862,0.0295874730229324,0.555667351826288,NA,NA,NA,0.139376650760435,0.0227361388336926,0.382879730756816,0.104680651190767,0.082891872213425,0.713791121837826,-0.0174589075083669,0.65902962483279,0.999980772643425,NA,NA,NA
"seq.10011.65","Q01968","OCRL","OCRL",-0.0033488071222042,0.896033289803055,0.973677942809121,0.0060886663221056,0.82313406161379,0.981598592820366,-0.0278793128390803,0.314507963438077,0.590370516950825,-0.0301126358537948,0.306973277726452,0.613020923310637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0020408435174747,0.957516706379048,0.993973026964755,NA,NA,NA,-0.0061296757738561,0.913528118623091,0.98605715091884,0.000186433728884,0.997151181483169,0.999843472343015,0.0119884466958653,0.735700881255123,0.999980772643425,NA,NA,NA
"seq.10012.5","O95238","SPDEF","SPDEF",-0.0460460652658437,0.119990338426937,0.538293436376864,-0.0209135900837732,0.505458742714977,0.940799920142794,-0.0878093362891788,0.0060672983701206,0.056486341774626,-0.0801344734433502,0.0184627463620775,0.142631078735667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0310305558923493,0.478015886495268,0.924143614120291,NA,NA,NA,-0.0635687885023389,0.302931362093542,0.803975143648795,0.0060712512882024,0.922967951482558,0.994879374811827,-0.0138191424340495,0.738419428554289,0.999980772643425,NA,NA,NA
"seq.10014.31","O43623","SNAI2","SNAI2",0.0323500087733303,0.268694255141264,0.696990618640271,0.0495044650421614,0.111230720800626,0.699754577748324,-0.036452992633685,0.249267790212269,0.520319728279764,-0.0546416666987797,0.10416698922689,0.356605505882469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0753858252839498,0.0755665166754158,0.706715547813237,NA,NA,NA,0.12498877064811,0.0424200250715198,0.460891414944313,0.0103394424196024,0.861269757017401,0.989918450275232,-0.017738964007608,0.666144372260924,0.999980772643425,NA,NA,NA
"seq.10015.119","Q13303","KCNAB2","KCNAB2",0.0099235518352521,0.648861525546081,0.903117507337351,0.0288184301883738,0.21275667396611,0.813941633809181,-0.0496023856270336,0.0352072123276263,0.168076370777692,-0.0601890074661423,0.0162410705171579,0.132312221106308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0271621613573854,0.419157223148766,0.900224165872276,NA,NA,NA,0.0308826416021782,0.502485595667487,0.90192739234767,-0.020774338213282,0.664224595072443,0.965604579528519,0.0348499039675535,0.240964256972744,0.999980772643425,NA,NA,NA
