"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label","Gender"
"seq.10046.55",0.833276785738834,0.696257799102663,0.0546077777460593,15.2593059108501,1.41298020757619e-35,0.579571134714295,0.573388357283623,204,0.725608766094761,0.940944805382907,118.733717198721,"cIAP.1__seq.10046.55__ANML",2.07237097111174e-34,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1","male"
"seq.10833.64",0.176046977083359,0.289850864673729,0.0391924050584206,4.49186460542396,1.18109890231762e-05,0.159151361798596,0.146785940648575,204,0.0987728448644733,0.253321109302244,-19.2507133446516,"HHIP__seq.10833.64__ANML",2.73517640536712e-05,"Q96QV1","HHIP","HHIP","HHIP__seq.10833.64","HHIP","male"
"seq.12500.88",0.436349332217346,0.289551766181239,0.0817399857769622,5.33826043728439,2.48960849282966e-07,0.405879059352588,0.397141986696008,204,0.275185799153134,0.597512865281559,286.534381696289,"SAE2__seq.12500.88__ANML",8.42636720650039e-07,"Q9UBT2","UBA2","UBA2","UBA2__seq.12500.88","UBA2","male"
"seq.12501.10",-0.237258338516852,-0.280304454252487,0.0560495778407319,-4.23300848386468,3.48528350153679e-05,0.114510003261309,0.101488091544563,204,-0.347769099018059,-0.126747578015645,129.574800122098,"TBCA__seq.12501.10__ANML",7.30249876512471e-05,"O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA","male"
"seq.12587.65",-0.535393464394018,-0.514491266622197,0.0606045052130681,-8.83421888375671,4.68039256575763e-16,0.315077170331306,0.305004775777354,204,-0.654884997049745,-0.415901931738291,162.077968422029,"ARL2__seq.12587.65__ANML",3.4322878815556e-15,"P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2","male"
"seq.12650.43",0.221817351063274,0.313898432290701,0.0311179630492751,7.12827348988194,1.74443391048617e-11,0.61073355953971,0.604980853523056,203,0.160461476793229,0.283173225333319,-118.726468871055,"GNAI3__seq.12650.43__ANML",8.52834356237684e-11,"P08754","GNAI3","GNAI3","GNAI3__seq.12650.43","GNAI3","male"
"seq.13507.51",-0.257665479319623,-0.271413223121237,0.063197698426807,-4.0771339104705,6.5328047949734e-05,0.105101062652177,0.091940784161768,204,-0.38226990961378,-0.133061049025466,179.507806585087,"TRADD__seq.13507.51__ANML",0.000130656095899468,"Q15628","TRADD","TRADD","TRADD__seq.13507.51","TRADD","male"
"seq.14318.1",1.32930078873354,0.821240355623757,0.0601872582152815,22.0860831370457,5.32306135346753e-56,0.72079377388332,0.71668779996984,204,1.21063192566461,1.44796965180247,159.204006878294,"VPS29__seq.14318.1__ANML",1.17107349776286e-54,"Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29","male"
"seq.14341.8",-0.0448210444448702,-0.104994176526379,0.0278542173656867,-1.60912955680761,0.109134412701143,0.140253655018966,0.127610326416303,204,-0.0997401154322526,0.0100980265425123,-161.314128100623,"FA69C__seq.14341.8__ANML",0.120047853971257,"Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C","male"
"seq.15548.35",0.341896746466447,0.462264195507938,0.0431481188158666,7.92379264378782,1.47131760508833e-13,0.312715976987493,0.302608859002015,204,0.256823288141973,0.426970204790921,20.7501163766554,"SERA__seq.15548.35__ANML",8.09224682798583e-13,"O43175","PHGDH","PHGDH","PHGDH__seq.15548.35","PHGDH_1","male"
