source_layer,target_layer,source_node,target_node,class_idx,importance,normalized_importance
0,1,O00161,R-HSA-1236975,0,0.11654014819372527,0.029829386142709104
0,1,O00161,R-HSA-1236975,1,0.077665193957965,0.01987902964195194
0,1,O00161,R-HSA-1445148,0,0.11654014819372527,0.029829386142709104
0,1,O00161,R-HSA-1445148,1,0.077665193957965,0.01987902964195194
0,1,O00161,R-HSA-199992,0,0.11654014819372527,0.029829386142709104
0,1,O00161,R-HSA-199992,1,0.077665193957965,0.01987902964195194
0,1,O00161,R-HSA-6798695,0,0.11654014819372527,0.029829386142709104
0,1,O00161,R-HSA-6798695,1,0.077665193957965,0.01987902964195194
0,1,O00161,R-HSA-9012999,0,0.11654014819372527,0.029829386142709104
0,1,O00161,R-HSA-9012999,1,0.077665193957965,0.01987902964195194
0,1,O43175,R-HSA-977347,0,0.2202383655467597,0.11011918277337986
0,1,O43175,R-HSA-977347,1,0.08702168732871422,0.04351084366435711
0,1,O75347,R-HSA-389977,0,0.0027200194089069237,0.0013600097044534618
0,1,O75347,R-HSA-389977,1,0.0034124454068264836,0.0017062227034132418
0,1,O75817,R-HSA-6784531,0,0.09125342239491621,0.045626711197458106
0,1,O75817,R-HSA-6784531,1,0.07631546184648355,0.038157730923241776
0,1,O75897,R-HSA-156584,0,0.09673372726841911,0.03445724888875815
0,1,O75897,R-HSA-156584,1,0.1468027257208672,0.0522921859888206
0,1,O75897,R-HSA-9753281,0,0.09673372726841911,0.03445724888875815
0,1,O75897,R-HSA-9753281,1,0.1468027257208672,0.0522921859888206
0,1,O94804,R-HSA-6798695,0,0.0008306962589585964,0.0002768987529861988
0,1,O94804,R-HSA-6798695,1,0.008932591295413895,0.0029775304318046315
0,1,O94804,R-HSA-9012999,0,0.0008306962589585964,0.0002768987529861988
0,1,O94804,R-HSA-9012999,1,0.008932591295413895,0.0029775304318046315
0,1,P04114,R-HSA-202733,0,0.14704037181344692,0.02709789854725204
0,1,P04114,R-HSA-202733,1,0.2728120473469101,0.05027621387447165
0,1,P04114,R-HSA-3000471,0,0.14704037181344692,0.02709789854725204
0,1,P04114,R-HSA-3000471,1,0.2728120473469101,0.05027621387447165
0,1,P04114,R-HSA-3000480,0,0.14704037181344692,0.02709789854725204
0,1,P04114,R-HSA-3000480,1,0.2728120473469101,0.05027621387447165
0,1,P04114,R-HSA-3000484,0,0.14704037181344692,0.02709789854725204
0,1,P04114,R-HSA-3000484,1,0.2728120473469101,0.05027621387447165
0,1,P04114,R-HSA-3000497,0,0.14704037181344692,0.02709789854725204
0,1,P04114,R-HSA-3000497,1,0.2728120473469101,0.05027621387447165
0,1,P04114,R-HSA-381426,0,0.14704037181344692,0.02709789854725204
