apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.003477718010625,0.0043994734767951,0.0236920282403449,0.146788530527871,0.883322327245079,0.0134324727332337,0.0095329963408749,1265,-0.0430022758533053,0.0499577118745554,0.987132908589277,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0181563236030154,-0.018072807746868,0.0159612817345063,-1.13752290730911,0.255533641690872,0.720724974877706,0.719628919049125,1274,-0.0494696096751901,0.0131569624691594,0.842548819889517,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0283904781883452,0.0537462197942878,0.015225747581644,1.8646360736055,0.0624635044401259,0.0865649422857776,0.082960226193772,1267,-0.0014799734730937,0.0582609298497841,0.59953442667499,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0264374585982982,-0.0496790917398678,0.0149691535123986,-1.76612916531323,0.0776155363892158,0.128186798151005,0.124738169979134,1264,-0.0558045808854947,0.0029296636888983,0.6329005935392,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-0.0094472935824316,-0.0207428054968222,0.0129867707009856,-0.727455177268562,0.467081244220756,0.102986807199585,0.0994552591964343,1270,-0.034925177554217,0.0160305903893538,0.932228021467007,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0189983610657478,0.0460401325266627,0.0117736340183393,1.61363611576128,0.106855585596436,0.102520976761595,0.0989764308562296,1266,-0.0040996201373124,0.0420963422688082,0.69333971601452,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0068403776290639,0.0144089219429244,0.0120691928493866,0.566763470799257,0.570974961670419,0.285189364046928,0.28237736311871,1271,-0.0168373534516289,0.0305181087097567,0.952063904266347,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0084356730132637,-0.0208554507236834,0.0119890372767749,-0.703615546312905,0.481800999341119,0.0285575839158734,0.0247390209595678,1272,-0.0319561346861343,0.0150847886596067,0.935447021415072,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0253031504873345,0.0499446747815916,0.0148537018523716,1.70349120635503,0.0887212169073283,0.0509565283760811,0.047214243393337,1268,-0.0038373857140997,0.0544436866887687,0.652862692090795,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0170711508238812,0.0271082504348257,0.013609305378501,1.25437341209559,0.209937123152887,0.484102716729753,0.482071625063335,1270,-0.009628042636409,0.0437703442841715,0.813292453986539,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
